first_name,middle_name,last_name,suffix,gender,race,birthdate,district,party,start_date,end_date,departed
James,J,Tayoun,,M,White,1930/03/27,1,Democrat,1988,1991/05/22,scandal
Joseph,C,Vignola,,M,White,1949/08/11,1,Democrat,1992,1995/04/01,resigned
Frank,,DiCicco,,M,White,1946,1,Democrat,1996,2011,retired
Anna,C,Verna,,F,White,1931/04/15,2,Democrat,1975,2011,retired
Lucien,E,Blackwell,,M,Black,1931/08/01,3,Democrat,1974,1991/02/07,resigned
Ann ,J,Land,,F,White,1933,4,Democrat,1981/05/09,1991,defeated
Michael,A,Nutter,,M,Black,1957/06/29,4,Democrat,1992,2006/07/08,resigned
Carol,,Campbell,,F,Black,1936/12/21,4,Democrat,2006/11/27,2007,defeated
Thomas,,McIntosh,,M,unknown,1921,5,Democrat,1960,1971,defeated
Cecil ,B,Moore,,M,Black,1915/04/02,5,Unknown,1976,1979/02/13,died
Raymond,,Alexander,,M,Black,1898/10/13,5,Unknown,1951,1958,resigned
Joan,L,Krajewski,,F,White,1934/05/31,6,Democrat,1980,2011,retired
Jack,P,Kelly,,M,White,unknown,7,Republican,1988,1991,defeated
Daniel,P,McElhatton,,M,White,unknown,7,Democrat,1992,1995,defeated
Joseph,,Coleman,,M,Black,1922,8,Democrat,1972,1991,retired
Herbert,H,DeBeary,Sr,M,unknown,1934,8,Unknown,1992,1993/12/15,died
Donna,Reed,Miller,,F,Black,unknown,8,Democrat,1996,2011,retired
Louis,,Johanson,,M,White,1929/01/04,9,Democrat,1976,1981/08/14,scandal
John,,Street,,M,Black,1943/10/15,5,Democrat,1980,1998,unknown
John,,White,,M,Black,1949/03/25,9,Democrat,1982,1986,unknown
Melvin,,Greenberg,,M,unknown,unknown,10,Unknown,1972,1979,unknown
Joseph,,Zazyczny,,M,unknown,1935,6,Unknown,1968,1978,unknown
Ethel,D,Allen,,F,Black,1929/05/08,5,Republican,1972,1975,unknown
Bill,,Green,,M,White,1965/03/29,0,Democrat,2008,2014,resigned
Leland,,Beloff,,M,White,1942/04/17,1,Democrat,1984/05/03,1987/08/04,scandal
George,X,Schwartz,,M,White,1915,4,Democrat,1960,1980/06/01,scandal
Harry,P,Jannotti,,M,unknown,,7,Unknown,1970,1983/01/28,scandal
David,,Cohen,,M,White,1914/11/13,8,Democrat,1968,1971/02/25,resigned
Emanuel,,Weinberg,,M,unknown,,1,Unknown,1959,1966,unknown
James,J,Tayoun,,M,White,1930/03/27,1,Democrat,1976,1984/01/31,unknown
James,H J,Tate,,M,White,1910/04/10,7,Democrat,1952,1962/02/13,unknown
Mark,F,Squilla,,M,White,unknown,1,Democrat,2012,9999,unknown
Kenyatta,,Johnson,,M,Black,unknown,2,Democrat,2012,9999,unknown
Jannie ,L,Blackwell,,F,Black,unknown,3,Democrat,1992,9999,unknown
Curtis,J,Jones,Jr,M,Black,1957/07/10,4,Democrat,2008,9999,unknown
Darrell ,L,Clarke,,M,Black,1955,5,Democrat,1999/05/18,9999,unknown
Bobby,,Henon,,M,White,1969/01/11,6,Democrat,2012,9999,unknown
Maria ,,Quinonez-Sanchez,,F,Hispanic,unknown,7,Democrat,2008,9999,unknown
Cindy,,Bass,,F,Black,1967/11/04,8,Democrat,2012,9999,unknown
Marian,B,Tasco,,F,Black,unknown,9,Democrat,1988,9999,unknown
Brian,J,O'Neill,,M,White,1949/12/23,10,Republican,1980,9999,unknown
Alfred,L,Luongo,,M,unknown,,8,Unknown,1960,1961,unknown
William,A,Dwyer,,M,unknown,,6,Unknown,1961,1963,unknown
Stanley,B,Smullen,Jr,M,unknown,,8,Unknown,1963,1963,unknown
Robert,B,Winkelman,,M,unknown,,10,Unknown,1963,1963,unknown
Edward,F,McNulty,,M,unknown,,6,Unknown,1964,1967,unknown
Joseph,J,Hersch,,M,unknown,,7,Unknown,1964,1967,unknown
David,,Silver,,M,unknown,,10,Unknown,1964,1971,unknown
Charles,L,Durham,,M,unknown,,3,Unknown,1968,1974/12/18,unknown
William,J,Cottrell,,M,unknown,,1,Unknown,1970,1971,unknown
Natale,F,Carabello,Jr,M,unknown,,1,Unknown,1972,1975,unknown
Thomas,M,Foglietta,,M,White,1928/12/03,0,Republican,1956,1975/02/28,unknown
Blondell,Reynolds,Brown,,F,Black,1952/10/16,0,Democrat,2000,9999,unknown
Daniel,J,Savage,,M,White,1973,7,Unknown,2007,2007,unknown
Alvin,,Stewart,,M,unknown,unknown,8,,1994,1995,unknown
Constance,,Dallas,,F,White,1902,8,Unknown,1952,1955,unknown
Isadore,,Bellis,,M,White,unknown,9,Unknown,1968,1975,unknown
Isadore,,Bellis,,M,White,unknown,8,Unknown,1964,1967,unknown
Patricia,,Hughes,,F,unknown,unknown,7,Unknown,1984,1987,unknown
William,M,Phillips,,M,unknown,,2,Republican,1952,1955,unknown
Harry,,Norwitch,,M,unknown,,3,Unknown,1952,1967,unknown
Michael,J,Towey,,M,unknown,,6,Democrat,,1960,unknown
Charles,M,Finley,,M,unknown,,9,Unknown,1952,1955,unknown
Charles,M,Finley,,M,unknown,,9,Unknown,1957,1958,unknown
John,F,Byrne,,M,unknown,,10,Unknown,1952,1955,unknown
Gaetano,P,Giordano,,M,White,1919,2,Unknown,1956,1967,unknown
Wilbur,H,Hamilton,,M,unknown,,8,Unknown,1956,1959,unknown
Henry,P,Carr,,M,unknown,,9,Unknown,1956,1956,unknown
Henry,P,Carr,,M,unknown,,9,Unknown,1959,1967,unknown
John,M,McDevitt,Jr,M,unknown,,10,Unknown,1956,1962/07/01,unknown
William,,Greenlee,,M,White,unknown,0,Democrat,2006/11/27,9999,unknown
W,Wilson,Goode,Jr,M,Black,1965/08/09,0,Democrat,2000,9999,unknown
James,F,Kenney,,M,White,unknown,0,Democrat,1992,9999,unknown
David,,Oh,,M,Asian,1960/03/08,0,Republican,2012,9999,unknown
Denny,,O'Brien,,M,White,1952/06/22,0,Republican,2012,9999,unknown
Frank,,Rizzo,Jr,M,White,1943/03/05,0,Republican,1996,2011,unknown
Juan,F,Ramos,,M,Hispanic,1951,0,Democrat,2004,2007,unknown
David,,Cohen,,M,White,1914/11/13,0,Democrat,1980,2005/10/03,unknown
Angel,L,Ortiz,,M,Hispanic,unknown,0,Democrat,1985,2003,unknown
Augusta,,Clark,,F,Black,1932/03/05,0,Democrat,1980,2000,unknown
Happy,,Fernandez,,F,White,1939,0,Democrat,1992,1999,unknown
Virginia,,Knauer,,F,White,1915/03/08,0,Republican,1960,1967,unknown
Paul,,D'Ortona,,M,White,1904,0,Democrat,1952,1971,unknown
Victor,E,Moore,,M,unknown,,0,Unknown,1952,1962,unknown
Louis,,Schwartz,,M,unknown,,0,Republican,1952,1959,unknown
Lewis,M,Stevens,,M,unknown,,0,Unknown,1952,1955,unknown
Donald,C,Rubel,,M,unknown,,0,Unknown,1955,1955,unknown
Henry,W,Sawyer,III,M,unknown,,0,Democrat,1956,1959,unknown
Marshall,L,Shepard,,M,Black,,0,Unknown,1956,1971/03/04,unknown
Mary,A,Varallo,,F,White,,0,Democrat,1960,1967,unknown
Walter,S,Pytko,,M,unknown,,0,Democrat,1963,1967,unknown
William,F,Boyle,,M,unknown,,0,Democrat,1963,1967,unknown
John,B,Kelly,Jr,M,unknown,,0,Democrat,1968,1979,unknown
Al,,Pearlman,,M,unknown,,0,Democrat,1976,1982/03/04,unknown
Charles,E,Murray,Jr,M,unknown,,0,Democrat,1977,1979,unknown
Edward,,Schwartz,,M,unknown,1943,0,Unknown,1984,1985,unknown
John,C,Anderson,,M,Black,,0,Democrat,1980,1984,died
Al,,Pearlman,,M,unknown,,0,Democrat,1984,1984,died
William,Thacher,Longstreth,,M,White,1920/01/01,0,Republican,1984,2003/04/11,died
Francis,,Rafferty,,M,unknown,,0,Democrat,1976,1991,defeated
Earl,,Vann,,M,unknown,,0,Democrat,1976,1980,defeated
Francis,D,O'Donnell,,M,unknown,1920,0,Democrat,1972,1975,died
Beatrice,K,Chernock,,F,unknown,,0,Republican,1972,1983,defeated
William,Thacher,Longstreth,,M,White,1920/01/01,0,Republican,1968,1971/03/04,resigned
Edward,R,Cantor,,M,unknown,,0,Unknown,1968,1975,defeated
Edgar,C,Campbell,Sr,M,Black,,0,Democrat,1968,1975,defeated
Leon,J,Kolankiewicz,,M,White,,0,Democrat,1957,1967,defeated
John,F,Byrne,,M,unknown,,0,Unknown,1956,1956/05/22,resigned
John,W,Lord,,M,unknown,1901/12/19,0,Unknown,1952,1954/05/27,resigned
James,A,Finnegan,,M,White,1906/12/20,0,Democrat,1947,1955,resigned
Victor,H,Blanc,,M,unknown,unknown,0,Democrat,1952,1955/03/14,resigned
George,,Burrell,,M,Black,unknown,0,Democrat,1986,1990,resigned
Ethel,D,Allen,,F,Black,1929/05/08,0,Republican,1976,1979/02/16,resigned
Jack,P,Kelly,,M,White,unknown,0,Republican,2004,2011,retired
Thomas,,Guerin,,M,unknown,,1,Democrat,1952,1956/10/12,died
Joan,,Specter,,F,White,1934,0,Republican,1980,1994,defeated
William,,Cibotti,,M,White,unknown,2,Democrat,1968,1975/01/17,died
Sammy,,Rose,,M,unknown,unknown,4,Democrat,,1960/01/31,died
Richard,T,Mariano,,M,White,1955,7,Democrat,1996,2006/05/02,scandal
